,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f498,-0.9997962,-0.996395594,-0.986047898,-0.99948013,-1,-0.997527937,-0.488710876,-0.520804782,-0.991019554,-0.484284131
f499,-0.9913533,-0.970655709,-0.980915898,-0.978437481,-1,-0.96793271,-0.541831824,-0.422678587,-0.980680404,-0.388740204
f500,-0.996472705,-0.997428014,-0.99884823,-0.997383023,-1,-0.985788842,-0.419358528,-0.441492256,-0.999656569,-0.388002413
f501,-0.984235716,-0.981405608,-0.981330038,-0.948226774,-1,-0.970277878,-0.375091071,-0.402389336,-0.978378072,-0.364024207
f502,-0.991123283,-0.979872841,-0.982032799,-0.974599417,-0.201699308,-0.974944563,-0.391241617,-0.197905256,-0.982402991,-0.857856628
f503,-1,-1,-1,-1,-0.594100075,-1,-0.63965646,-0.673637043,-1,-0.669902913
f504,-0.997129992,-0.997826938,-0.993241973,-0.999690681,-0.95481591,-0.998676586,-0.968275101,-0.976742068,-0.9985787,-0.963951587
f505,-1,-1,-1,-0.98152207,-0.976702107,-1,-0.992321804,-0.995829088,-0.989238965,-0.991559864
f506,-0.999556654,-0.996814449,-0.99427589,-0.988847566,-0.981509739,-0.998998464,-0.966923975,-0.978278431,-0.988173867,-0.9690333
f507,-0.98496359,-0.991136531,-0.980548955,-1,-0.977868934,-0.990275657,-0.976182515,-0.988861619,-0.991818745,-0.967466351
f508,-0.996359425,-0.996671885,-0.995750587,-0.997568989,-0.940123153,-0.997566783,-0.986697124,-1,-0.993340141,-0.983548387
f509,-0.68818764,-0.690922628,-0.584614061,-0.690560732,-0.789424427,-0.786231916,-0.928872251,-0.878334113,-0.333327401,-0.93947902
f510,-0.794454598,-0.810576776,-0.882334498,-0.877128206,-0.979218011,-0.905313141,-0.991014075,-0.989131223,-0.865279972,-0.993493393
f511,-0.996137795,-0.994750102,-0.997865622,-0.993627048,-0.983974839,-0.9977457,-0.992808351,-0.993946632,-0.99117069,-0.992637815
f512,-0.96027685,-0.935902831,-0.945815778,-0.924560222,-0.96525645,-0.938431476,-0.965882174,-0.976873557,-0.922828288,-0.967309653
f513,-0.976873557,-0.968479034,-0.965882174,-0.97479245,-0.922828288,-0.967309653,-0.945815778,-0.96027685,-0.96525645,-0.938431476
f514,-0.993946632,-0.988854283,-0.992808351,-0.989148856,-0.99117069,-0.992637815,-0.997865622,-0.996137795,-0.983974839,-0.9977457
f515,-0.989131223,-0.988022071,-0.991014075,-0.990136521,-0.865279972,-0.993493393,-0.882334498,-0.794454598,-0.979218011,-0.905313141
f516,-0.878334113,-0.864295742,-0.928872251,-0.925752613,-0.333327401,-0.93947902,-0.584614061,-0.68818764,-0.789424427,-0.786231916
f517,-1,-0.973172573,-0.986697124,-0.884896711,-0.993340141,-0.983548387,-0.995750587,-0.996359425,-0.940123153,-0.997566783
f518,-0.988861619,-0.973815984,-0.976182515,-0.962929511,-0.991818745,-0.967466351,-0.980548955,-0.98496359,-0.977868934,-0.990275657
f519,-0.978278431,-0.974777848,-0.966923975,-0.978457948,-0.988173867,-0.9690333,-0.99427589,-0.999556654,-0.981509739,-0.998998464
f520,-0.995829088,-0.986829084,-0.992321804,-0.96896268,-0.989238965,-0.991559864,-1,-1,-0.976702107,-1
f521,-0.976742068,-0.962471063,-0.968275101,-0.955829958,-0.9985787,-0.963951587,-0.993241973,-0.997129992,-0.95481591,-0.998676586
f522,-0.673637043,-0.627707244,-0.63965646,-0.73188947,-1,-0.669902913,-1,-1,-0.594100075,-1
f523,-0.197905256,-0.572501136,-0.391241617,-0.249418869,-0.982402991,-0.857856628,-0.982032799,-0.991123283,-0.201699308,-0.974944563
f524,-0.402389336,-0.354432925,-0.375091071,-1,-0.978378072,-0.364024207,-0.981330038,-0.984235716,-1,-0.970277878
f525,-0.441492256,-0.472848371,-0.419358528,-1,-0.999656569,-0.388002413,-0.99884823,-0.996472705,-1,-0.985788842
f526,-0.422678587,-0.4215719,-0.541831824,-1,-0.980680404,-0.388740204,-0.980915898,-0.9913533,-1,-0.96793271
f527,-0.520804782,-0.41751405,-0.488710876,-1,-0.991019554,-0.484284131,-0.986047898,-0.9997962,-1,-0.997527937
f528,-0.498302159,-0.477275117,-0.441861151,-1,-0.665841584,-0.425260855,-0.887128713,-0.806930693,-1,-0.903960396
f529,-0.531133856,-0.509369023,-0.485390817,-1,-0.977679531,-0.4215719,-0.990348851,-0.988326613,-1,-0.993011713
f530,-0.506048963,-0.459199239,-0.473955057,-1,-0.980045703,-0.496826577,-0.991045063,-0.992462435,-1,-0.990832715
f531,-0.448870165,-0.473955057,-0.473217267,-1,-0.754194186,-0.411242827,-0.758621098,-0.836383612,-1,-0.768720312
f532,-0.40939835,-0.43300766,-0.478381803,-1,-0.987367212,-0.345579433,-0.998851565,-0.97588286,-1,-0.993683606
f533,-0.481332967,-0.471741685,-0.478750699,-0.699719086,-0.999030372,-0.394273636,-0.99967915,-0.997097062,-0.576876894,-0.999248425
