,or4246,or2615,or351
f518,-0.987886276,-0.988861619,-0.98496359
f519,-0.983439548,-0.978278431,-0.999556654
f520,-0.989881074,-0.995829088,-1
f521,-0.980265164,-0.976742068,-0.997129992
f522,-0.777819268,-0.673637043,-1
f523,1,-0.509658802,-0.991123283
f524,-1,-0.430794287,-0.984235716
f525,-1,-0.421940796,-0.996472705
f526,-1,-0.422309691,-0.9913533
f527,-1,-0.435958824,-0.9997962
f528,-1,-0.426736437,-0.806930693
f529,-1,-0.446287897,-0.988326613
f530,-1,-0.622619933,-0.992462435
f531,-1,-0.424154169,-0.836383612
f532,-1,-0.445919002,-0.97588286
f533,-0.667994076,-0.496457681,-0.997097062
f534,-0.696030131,-0.536298392,-0.839009288
f535,-1,-0.470266103,-0.955456904
f536,1,-1,-0.692715232
f537,-1,-1,-0.976501413
f538,-1,-1,-0.845947666
f539,-1,-1,-0.989235616
f540,-0.824966573,-0.967181233,0.230769231
f541,-0.822535554,-0.967181233,0.111111111
f542,0.422222222,-0.57037037,-0.185185185
f543,-0.603773585,-0.830188679,-0.176470588
f544,0.235772358,-0.430894309,0.085106383
f545,-1,-1,-0.593582585
f546,0.291044776,-0.410447761,-0.757013346
f547,-0.980198915,-0.997778782,-0.796910212
f548,0.49489754,-0.512790348,-0.564495299
f549,-1,-0.993242507,-0.258604204
f550,-0.870550162,-1,0.167180225
f551,-1,-1,-0.109024421
f552,-1,-1,0.102342199
f553,-1,-1,-0.062337801
f554,0.644990014,-0.52886161,-0.802700336
f555,0.643629662,-0.530918085,-0.708146088
f556,-1,1,-0.636315364
f557,0.484375,-1,-0.6228618
f558,-1,-1,-0.733241825
f559,-1,-0.067567568,-0.7502778
f560,1,0.037245049,-0.15982727
f561,1,0.067191372,-0.549111997
f562,0.955223881,0.52238806,0.338913202
f563,-0.264864865,0.978378378,-0.691900943
f564,1,-0.442724458,-0.156911338
f565,-0.066666667,0.233333333,-0.548534103
f566,1,0.479713604,-0.120336051
f567,-0.973140871,-0.966751814,-0.092023365
f568,1,0.191247601,-0.411438249
f569,-0.708816705,-0.916983759,-0.411438249
f570,-1,1,-0.411438249
f571,0.580028441,-1,-0.411438249
f572,-1,-1,-0.411438249
f573,-1,-0.489413293,-0.411438249
f574,1,0.291222152,-0.411438249
f575,1,0.4398319,-0.411438249
f576,0.982275677,-0.171229625,-0.411438249
f577,1,0.483571192,-0.411438249
f578,0.903470032,0.963091483,-0.411438249
f579,-0.980700137,-0.993537667,-0.411438249
f580,0.837477477,1,0.103806023
f581,0.872253731,-0.154892352,0.126488517
f582,1,-0.380672192,0.218638939
f583,0.065355423,0.529083345,-0.068036079
f584,1,0.31713011,0.222526987
f585,1,-0.26199262,-0.439367177
f586,0.770984456,-0.347150259,-0.59773473
f587,-0.023973941,0.463192182,0.242222011
f588,0.787486339,0.121857923,-0.81382733
f589,1,-0.652173913,-0.252445817
f590,1,-0.272727273,0.21540765
f591,-0.181818182,-0.545454545,0.344348205
f592,1,-0.395348837,0.026808863
f593,1,0.31713011,0.021067843
f594,1,0.684601368,-0.588849234
f595,1,0.453775861,0.642487833
f596,0.176949228,0.312378086,0.602288194
f597,-0.720123417,-0.688139059,-0.069387755
f598,1,-0.873595586,0.160875161
f599,-0.368807339,-0.710091743,-0.998590759
f600,1,-0.02483147,-0.992345001
f601,1,-0.237757035,-0.999693235
f602,0.124365434,0.575498305,-0.643652003
f603,1,-0.179992081,-0.762120619
f604,0.140202311,0.646114236,-0.792128427
f605,0.146342857,-1,0.225176571
f606,0.683594921,-1,0.166017553
f607,1,-1,-0.918632903
f608,0.77735678,0.8273588,-0.837835878
f609,-0.708793819,-1,-0.517877212
f610,-0.938931298,-1,-0.40970459
f611,1,-0.697665337,-0.978175763
f612,1,-0.697826132,-0.432484295
f613,0.788958486,0.883025083,-0.635684379
f614,0.745870222,0.837671162,-0.851551138
f615,0.628191298,0.880858204,0.018316082
f616,0.628191298,0.880858204,-0.304207259
f617,1,0.462686567,-0.675147861
f618,0.942028986,0.420289855,-0.640043268
f619,-0.526049743,-0.457607145,-0.391598459
f620,-0.814089765,-0.763075505,-0.56566468
f621,0.021759416,-0.1639772,-0.623869759
f622,0.249738651,0.306502645,-0.845033071
f623,0.683559752,0.972947978,-0.272899429
f624,-0.892170766,-0.937563768,-0.740808509
f625,-0.202118976,0.314706326,-0.90267518
f626,0.839034205,-0.782696177,-0.649773513
f627,-0.010733453,-0.994633274,-0.196336119
f628,0.161067194,0.153656126,-0.698892671
f629,-0.273017893,-0.259993784,-0.719487997
f630,0.292214359,-0.103626693,-0.188695367
f631,0.184406845,-0.306384753,-0.505940468
f632,-1,0.636363636,-0.821421351
f633,-0.915344385,-0.831158476,-0.797398915
f634,0.033128613,0.970150117,-0.731116482
f635,-0.059209516,0.806478664,-0.555431821
f636,0.483799982,-0.998563711,-0.575036467
f637,-1,-0.848827688,-0.325902426
f638,-0.674542118,-0.33015352,0.026417793
f639,-0.479061113,-0.47599769,-0.366401193
f640,-0.427291501,-0.476047802,-0.835164978
f641,-0.577132294,-0.217797779,-0.297280055
f642,-0.867852869,-0.907715556,-0.294796281
f643,-0.071770335,-0.90430622,-0.47481401
f644,0.527103549,0.539045594,-0.698401729
f645,0.902654565,0.517313573,-0.286698686
