,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f377,-0.809885356,-0.451930669,-1,-0.498776821,-1,-0.629222279,-0.678714047,-0.316544302,-0.484750382,-0.423066393,-0.554100422,-0.893836063,-0.77247086,-0.445486019,0.024008378,-0.551596551,-0.379076933,-0.837052875,-0.027071097,-0.564349784,-0.464569788
f378,-0.982326839,-0.997617902,-1,-0.519226541,-1,-0.628169312,-0.969719417,-0.558801803,-0.818502287,-0.904929021,-0.626191955,-0.879993807,-0.926090892,-0.38034922,-0.782415206,-0.476306035,-0.223394852,-0.980016197,-0.79535847,-0.398787398,-0.427230439
f379,-0.831614602,-0.718985377,-1,-0.413524754,-1,-0.370396808,-0.493666613,-0.504803285,-0.319026156,-0.440377449,-0.542736251,-0.637543911,-0.59167846,0.098283056,0.459865862,-0.192334749,0.13906337,-0.778438861,0.008603575,-0.119351207,0.011717258
f380,-0.829125751,-0.716096565,-1,-0.3889765,-0.69765207,-0.522327255,-0.489379007,-0.477769398,-0.309393302,-0.434116053,-0.571696445,-0.632435847,-0.586275379,-0.382915359,0.460614544,-0.139665225,-0.243706532,-0.776978236,0.021216978,-0.39634884,-0.208841819
f381,-0.79946298,-0.77604679,-1,-0.755804114,-0.870373514,-0.683877738,-0.435406088,-0.64942605,-0.404822544,-0.465649342,-0.889770437,-0.734137977,-0.656700784,-0.771177135,-0.168789047,-0.755422023,-0.648011552,-0.763923967,-0.163099827,-0.777313022,-0.583149947
f382,-0.76076555,-0.645933014,-1,-0.551800934,-0.785548682,-0.594745746,-0.741626794,-0.660095302,-0.866028708,-0.406698565,-0.706423043,-0.76076555,-0.770334928,-0.400528314,-0.224880383,-0.412612829,-0.55335296,-0.80861244,-0.263157895,-0.617604566,-0.314207802
f383,-0.988583895,0.24507464,-1,-0.418242978,-0.713376137,-0.587680855,-0.97149686,-0.615563946,-0.995763563,-0.97684368,-0.597943118,-0.962876584,-0.983534673,-0.437563108,-0.988359844,-0.280616892,-0.313378499,-0.975424299,-0.947590472,-0.469729457,-0.170817576
f384,-1,-0.878070215,-1,-0.505005047,-1,-0.215932661,-1,-0.906939524,-1,-1,-0.564873245,-1,-1,-0.519046057,-1,-0.552071474,-0.486192205,-1,-0.973953362,-0.66745915,-0.645145833
f385,-0.846311997,-0.841188181,-1,-0.926243916,-1,-0.980693605,-0.83853619,-0.906195753,-0.983447228,-0.960161426,-0.931347348,-0.954462655,-0.902977257,-0.989385092,-0.842074714,-0.685252241,-0.933872941,-0.972448207,-0.779450667,-0.936503565,-0.880206726
f386,-0.846324736,-0.841623799,-1,-0.099438856,-0.747171757,-0.700642844,-0.838678851,0.075913483,-0.984026153,-0.960172754,-0.190757402,-0.954462655,-0.902977257,-0.382764612,-0.842474753,0.286998705,-0.076854169,-0.972448207,-0.780110035,-0.436248319,0.680111428
f387,-0.885524413,-0.809872779,-1,-0.386210016,-0.710146378,-0.63496058,-0.853231642,-0.481182864,-0.980020743,-0.952477804,-0.624198692,-0.957490854,-0.837963694,-0.611294723,-0.847145633,0.423199816,0.008685942,-0.990419274,-0.894331043,-0.451629096,0.868346319
f388,-1,-1,-1,-0.212780514,-0.048637588,-0.000675028,-0.990326263,-0.055763861,-0.976132658,-0.98739022,-0.215373266,-1,-1,0.188771007,-1,0.030777908,0.040538962,-1,-0.974265755,0.167823081,0.053092704
f389,-0.99963488,-0.98751449,-1,0.019011681,-0.469432854,-0.126446274,-0.995911112,0.218289071,-0.983407082,-0.999675323,-0.228702587,-1,-1,0.906398681,-0.988534256,-0.205312314,0.166593513,-1,-0.98110146,-0.115793859,-0.021865527
f390,-0.726882154,-0.623533261,-1,-0.238083738,-0.449129138,-0.288648422,-0.686988324,0.026266881,-0.98432995,-0.93419119,-0.429217457,-0.947190528,-0.847789386,0.500867559,-0.932231084,-0.233832894,0.089202748,-0.986379152,-0.607756297,-0.236324128,-0.145834253
f391,-0.718815031,-0.662481932,-1,-0.238138116,-0.589423102,-0.619264511,-0.720403273,-0.492736106,-0.988244388,-0.929338742,-0.336913515,-0.949555438,-0.87009804,-0.34550264,-0.941272614,-0.444177822,-0.502341569,-0.988286717,-0.587789259,-0.489529604,-0.329998245
f392,-0.972076179,-0.976952832,-1,-0.952112662,-0.897881333,-0.782465838,-0.970144069,-0.916569681,-0.98410302,-0.994673377,-0.957545176,-0.997335702,-0.988318532,-1,-0.994924018,-0.882154504,-0.864555901,-0.998898757,-0.971975528,-0.795998893,-0.641537968
f393,-1,-1,-1,-0.76082955,-0.833807087,-0.869854996,-0.963636364,-0.742308522,-0.745454545,-0.818181818,-0.823207303,-1,-1,-0.907458418,-0.890909091,-0.832240189,-0.873687499,-1,-0.745454545,-0.865693702,-0.738704969
f394,-0.44044283,-0.71084157,-1,-0.320540354,-0.733469667,-0.686311476,-0.431088648,-0.355685228,-0.675822911,-0.099610421,-0.365020781,-0.439692899,-0.788499389,-0.52241757,-0.295537837,-0.457654681,-0.440460273,-0.621655338,-0.107191001,-0.642678117,-0.238144466
