,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f932,-0.424083622,-0.788700279,-0.71180989,0.048777619,-0.750950089,-0.418039017,-0.398134394,0.13683247,-0.172534056,-0.772738789,-0.883709146,-0.866480872,0.969343805,-0.682034568,0.901570813,-0.592470205,-0.078287307,-0.710919686,0.944869521,-0.034808677,-0.876283989,0.366515002
f933,-1,-0.545454545,-1,-1,-0.886363636,-0.924242424,-1,-1,-0.788367056,-0.537878788,-0.962121212,-0.772727273,-0.393939394,-1,-0.393939394,-1,-0.598484848,-0.583333333,-0.393939394,-1,-1,-1
f934,-1,-0.817148284,-1,-1,-0.718840909,-0.886819455,-1,-1,-1,-1,-0.863693816,-0.828035658,-0.883622794,-1,-0.883622794,-1,-0.628692378,-0.688037932,-0.883622794,-1,-1,-1
f935,-1,-1,-1,-1,0.207822534,-0.616178801,0.090859194,-1,-1,-1,-0.706413143,-0.656192144,-0.689859061,-1,-0.689859061,-1,0.018513885,-0.894095572,-0.689859061,-0.034475671,-0.745371791,-0.856073562
f936,-1,-1,-1,0.540164691,-0.425380038,-0.861757509,-1,0.527264579,0.545883255,-0.103421849,-0.791601662,-0.901712841,-0.07828486,-1,-0.07828486,-1,1,-0.94797979,-0.07828486,-1,-1,-1
f937,-0.996663902,-0.794843967,-0.997381162,-0.834599323,-0.530379002,-0.813342388,-0.3557585,-0.852115854,-0.836812909,-0.413016194,-0.659467784,-0.703461406,-0.356647851,-1,-0.274244693,-0.926433174,0.09286195,-0.478091104,-0.422583716,-0.349679614,-0.810440451,-0.334714958
f938,-0.313184414,-0.880042431,-0.730586285,-0.173981192,-0.528953703,-0.873279677,-0.271898632,-0.104075073,-0.302172805,-0.315317561,-0.893188008,-0.895522297,-0.176013957,-0.789750089,-0.176013957,-0.54729091,-0.560828308,-0.366829986,-0.176013957,-0.067866712,-0.845570858,0.559793475
f939,-0.995009974,-0.647058824,-0.985681711,-0.918675389,-0.503267974,-0.424836601,-0.989691657,-0.911687365,-0.921019634,-0.189542484,-0.647058824,-0.673202614,0.019607843,-0.970197661,0.021568627,-0.993955625,0.437908497,-0.189542484,0.032679739,-0.953767944,-1,-0.99866353
f940,-0.386364285,-0.739837398,-0.661704036,-0.086351231,-0.62601626,-0.674796748,-0.164523048,-0.013020841,-0.205914096,-0.447154472,-0.739837398,-0.772357724,-0.073170732,-0.69053856,-0.1,-0.577426587,-0.138211382,-0.398373984,-0.073170732,0.18736378,-0.795260021,0.098059025
f941,-1,-1,-1,-0.523092346,-0.08852046,-0.69513119,-0.348827885,-0.84662275,-0.521321597,-1,-0.765786011,-0.806393948,-0.026402631,-1,-0.032191064,-0.987519201,1,-0.905429115,-0.026402631,0.245011965,-0.586382437,-0.388188857
f942,-0.316983868,-0.581752554,-0.672095808,-0.581744737,-0.389294217,-0.620152062,-0.192078674,-0.15524766,-0.722185721,-0.0312572,-0.478227479,-0.352891483,0.247984026,-0.75138831,0.280546809,-0.517577746,0.217418017,-0.240457722,0.237692958,-0.118723444,-0.851966447,0.177241692
f943,-0.801572724,-0.667090413,-0.71962227,1,-0.532339188,-0.461282513,-0.847074634,0.082746454,0.985724085,-0.262615655,-0.682942197,-0.673789284,0.209267877,-0.563034346,0.116390126,-0.91625516,0.327282978,-0.371566276,0.180349977,-0.112398253,-1,-1
f944,-0.760046322,-0.701968585,-0.757818182,0.251298961,-0.594370899,-0.570981092,-0.301797785,0.157479823,-0.015863965,-0.260420239,-0.709170725,-0.727896289,0.308114411,-0.733573361,0.208130416,-0.439393936,0.01010586,-0.297299769,0.274824519,0.32290502,-0.88013768,0.015167612
